>header
sequence name, functional

>data
13112332, 1
12131331, 1
12131332, 1
12222332, 1
12132331, 1
12222132, 1
22133222, 0
11111132, 1
11332333, 1
13111332, 0
12132332, 0
11313121, 1
32121222, 0
13312332, 1
13113132, 1
21333331, 1
21112113, 0
13311332, 1
21131311, 1
23321131, 0
22322312, 0
23321332, 0
12311332, 1
23111332, 0
13332332, 1
12111212, 0
11112132, 1
11111111, 1
13131332, 1
13231111, 1
12222213, 0
23321331, 0
31313323, 0
23233133, 1
11113332, 1
13111313, 1
12221122, 0
13311331, 1
32333223, 0
33333333, 1
31121121, 0
13111132, 0
33213332, 1
22311331, 1
22232132, 1
22311332, 0
13331332, 1
13332331, 1
11112321, 0
22122132, 0
11113132, 1
13333232, 1
12122221, 0
12122132, 0
11131231, 0
33332321, 0
13132332, 1
32312222, 0
23223223, 0
13322332, 0
12122331, 0
13122332, 0
31212111, 1
22222222, 1
12331332, 1
21223122, 1
23231222, 1
13121211, 0
22212231, 1
21311131, 1
12213111, 1
12133333, 1
31311112, 1
33321331, 0
12121113, 0
12113132, 1
12111131, 1
12112332, 1
22222232, 1
32333113, 1
23222321, 0
12332332, 1
12332331, 1
33222333, 0
12312332, 1
21322232, 0
12112132, 0
33331213, 0
23311333, 1
31222212, 0
22212323, 0
12111332, 1
33123313, 1
33133132, 1
22322132, 0
