#this is data from Marco and Martina's chemistry and biology paper (supp info table S2)
# note R0 = heme domain only (peroxygenase)

>header
chimera, 2-phenoxyethanol,ethoxybenzene,ethyl phenoxyacetate,3-phenoxytoluene,ethyl 4-phenylbutyrate,diphenyl ether,2-amino-5-chloro-benzoxazole,propranolol,chlorzoxazone,tolbutamide,12-pNCA

>data
11111111-R0,0.105,0.000,0.000,0.000,0.013,0.027,0.000,0.011,0.013,0.011,0.178
11111111-R1,0.152,0.115,0.136,0.053,0.202,0.177,0.055,0.037,0.032,0.033,0.302
11111111-R2,0.484,0.179,0.157,0.118,0.200,0.114,0.146,0.029,0.026,0.029,0.114
11111111-R3,0.048,0.000,0.038,0.000,0.059,0.030,0.054,0.023,0.019,0.022,0.132
22222222-R0,0.054,0.000,0.000,0.000,0.013,0.009,0.000,0.010,0.014,0.011,0.026
22222222-R1,0.042,0.000,0.038,0.000,0.027,0.031,0.020,0.021,0.016,0.020,0.064
22222222-R2,0.039,0.000,0.045,0.000,0.027,0.083,0.022,0.020,0.016,0.018,0.037
22222222-R3,0.065,0.000,0.040,0.000,0.048,0.031,0.055,0.028,0.024,0.024,0.079
33333333-R3,0.049,0.000,0.033,0.000,0.046,0.026,0.056,0.030,0.022,0.024,0.063
11113311-R0,0.463,0.000,0.046,0.000,0.011,0.031,0.000,0.013,0.012,0.009,0.190
11113311-R1,0.448,0.238,0.160,0.072,0.135,0.225,0.061,0.029,0.028,0.027,0.364
11113311-R2,0.329,0.145,0.087,0.000,0.091,0.159,0.051,0.030,0.024,0.024,0.277
11113311-R3,0.118,0.000,0.033,0.000,0.032,0.028,0.047,0.022,0.017,0.019,0.155
12112333-R0,0.544,0.053,0.048,0.000,0.013,0.038,0.000,0.012,0.014,0.013,0.056
12112333-R1,0.513,0.282,0.163,0.091,0.124,0.414,0.038,0.020,0.017,0.019,0.170
12112333-R2,0.511,0.334,0.163,0.116,0.135,0.462,0.063,0.025,0.024,0.025,0.143
12112333-R3,0.129,0.044,0.039,0.000,0.043,0.058,0.080,0.025,0.019,0.022,0.053
21113312-R0,0.522,0.135,0.078,0.000,0.017,0.034,0.000,0.017,0.017,0.013,0.069
21113312-R1,0.269,0.107,0.084,0.000,0.063,0.056,0.046,0.038,0.045,0.034,0.065
21113312-R2,0.213,0.085,0.073,0.046,0.066,0.047,0.055,0.033,0.038,0.031,0.050
21113312-R3,0.179,0.063,0.058,0.000,0.049,0.034,0.075,0.034,0.037,0.033,0.031
21313111-R0,0.731,0.105,0.073,0.000,0.016,0.058,0.000,0.018,0.012,0.013,0.000
21313111-R1,0.617,0.313,0.173,0.167,0.089,0.370,0.044,0.024,0.024,0.024,0.033
21313111-R2,0.560,0.282,0.139,0.152,0.102,0.332,0.079,0.029,0.027,0.028,0.000
21313111-R3,0.767,0.256,0.258,0.207,0.260,0.518,0.137,0.102,0.089,0.076,0.000
21313311-R0,0.365,0.000,0.046,0.000,0.009,0.038,0.000,0.012,0.011,0.012,0.000
21313311-R1,0.343,0.082,0.109,0.061,0.089,0.202,0.017,0.019,0.015,0.019,0.000
21313311-R2,0.306,0.074,0.092,0.000,0.086,0.149,0.050,0.030,0.029,0.029,0.000
21313311-R3,0.190,0.109,0.098,0.097,0.115,0.150,0.136,0.072,0.071,0.060,0.000
21333233-R0,0.113,0.000,0.036,0.000,0.020,0.016,0.023,0.025,0.020,0.020,0.000
21333233-R1,0.046,0.000,0.035,0.000,0.029,0.026,0.022,0.024,0.019,0.022,0.000
21333233-R2,0.180,0.104,0.119,0.000,0.070,0.090,0.039,0.036,0.034,0.031,0.062
21333233-R3,0.057,0.000,0.035,0.000,0.036,0.028,0.040,0.026,0.025,0.024,0.000
22132231-R0,0.034,0.000,0.000,0.000,0.009,0.006,0.000,0.005,0.008,0.007,0.000
22132231-R1,0.025,0.000,0.024,0.000,0.023,0.018,0.000,0.018,0.014,0.018,0.000
22132231-R2,0.045,0.000,0.035,0.000,0.026,0.033,0.000,0.018,0.016,0.020,0.000
22132231-R3,0.022,0.000,0.000,0.000,0.016,0.015,0.025,0.014,0.012,0.015,0.000
22213132-R0,0.269,0.051,0.061,0.000,0.010,0.017,0.020,0.010,0.019,0.013,0.000
22213132-R1,0.584,0.217,0.238,0.076,0.081,0.172,0.068,0.031,0.040,0.030,0.133
22213132-R2,0.377,0.289,0.253,0.169,0.153,0.206,0.152,0.122,0.130,0.126,0.000
22213132-R3,0.172,0.070,0.077,0.000,0.038,0.043,0.051,0.026,0.025,0.024,0.015
22312333-R0,0.103,0.000,0.024,0.000,0.008,0.017,0.000,0.009,0.006,0.009,0.000
22312333-R1,0.080,0.000,0.044,0.000,0.058,0.132,0.082,0.015,0.015,0.018,0.000
22312333-R2,0.172,0.067,0.084,0.049,0.121,0.356,0.117,0.019,0.012,0.017,0.000
22312333-R3,0.034,0.000,0.000,0.000,0.022,0.019,0.093,0.012,0.011,0.015,0.000
22313233-R0,0.185,0.000,0.050,0.000,0.011,0.029,0.000,0.008,0.009,0.010,0.000
22313233-R1,0.064,0.000,0.036,0.000,0.033,0.044,0.023,0.021,0.018,0.021,0.000
22313233-R2,0.260,0.204,0.150,0.137,0.089,0.415,0.049,0.022,0.016,0.019,0.000
22313233-R3,0.077,0.000,0.041,0.000,0.034,0.031,0.053,0.026,0.020,0.023,0.000
23132233-R0,0.024,0.000,0.000,0.000,0.019,0.019,0.022,0.025,0.021,0.021,0.000
23132233-R1,0.044,0.000,0.043,0.000,0.051,0.037,0.035,0.042,0.039,0.036,0.000
23132233-R2,0.049,0.000,0.055,0.046,0.054,0.044,0.043,0.043,0.041,0.038,0.000
23132233-R3,0.030,0.000,0.031,0.000,0.034,0.024,0.025,0.031,0.026,0.028,0.000
32312231-R0,0.354,0.065,0.085,0.000,0.016,0.067,0.000,0.015,0.013,0.018,0.000
32312231-R1,0.067,0.053,0.055,0.000,0.051,0.156,0.063,0.021,0.016,0.021,0.139
32312231-R2,0.204,0.245,0.277,0.154,0.090,0.448,0.063,0.019,0.016,0.020,0.048
32312231-R3,0.064,0.000,0.035,0.000,0.025,0.024,0.044,0.018,0.015,0.018,0.000
32312333-R0,1.101,0.338,0.236,0.076,0.025,0.297,0.067,0.019,0.019,0.019,0.000
32312333-R1,1.030,0.860,0.803,0.320,0.167,0.664,0.233,0.022,0.048,0.023,0.034
32312333-R2,0.907,0.712,0.653,0.246,0.133,0.538,0.174,0.018,0.023,0.022,0.044
32312333-R3,0.212,0.189,0.264,0.178,0.066,0.561,0.145,0.023,0.023,0.023,0.000
32313233-R0,0.796,0.383,0.276,0.095,0.036,0.389,0.121,0.009,0.023,0.023,0.000
32313233-R1,0.249,0.471,0.476,0.280,0.163,0.742,0.261,0.044,0.048,0.039,0.018
32313233-R2,0.535,0.566,0.454,0.197,0.153,0.485,0.229,0.029,0.037,0.029,0.017
32313233-R3,0.147,0.123,0.125,0.081,0.056,0.304,0.153,0.034,0.032,0.031,0.000
