>header
sequence name, functional

>data
11111111, 1
33333322, 1
11332113, 1
11212221, 0
33312313, 1
11111133, 1
12222312, 0
11112133, 1
23213111, 0
12132231, 0
21232213, 0
32222233, 1
22222222, 1
11111112, 1
21111133, 1
22223222, 1
11332313, 1
33331111, 1
11133331, 1
21112121, 1
11111121, 1
22322223, 1
22322222, 0
11331113, 1
32222213, 1
23312313, 1
23222222, 0
11222223, 1
22312231, 0
21111111, 1
11112123, 1
11322123, 1
11312113, 1
21111131, 1
33333311, 1
21111113, 1
21132313, 1
13322333, 1
13332131, 1
11122222, 0
33333333, 1
33333332, 1
33333331, 1
13312213, 0
11212312, 0
21113221, 0
12222223, 1
22122223, 1
11111122, 1
21211113, 0
32222111, 0
22211111, 0
23113213, 0
13112223, 0
11132333, 1
33333111, 1
21112111, 1
31221323, 0
11332321, 1
31113221, 0
11311113, 1
23313113, 1
33311111, 1
11112113, 1
11211313, 0
23222333, 0
21111121, 1
32223213, 1
22233333, 0
21222223, 0
31222223, 1
23112331, 0
11222131, 1
12322223, 1
11222133, 1
31312133, 1
11312313, 1
12222111, 0
11111222, 0
11312331, 1
