>header
sequence name, functional

>data
11111111, 1
55555555, 1
35555555, 1
55552555, 1
53123252, 1
55152222, 1
55553555, 1
45555555, 1
22153252, 1
53555555, 1
42122252, 1
55555252, 1
55153552, 1
55155255, 1
55552222, 1
55555525, 0
55555255, 1
55555355, 1
55525555, 1
55555155, 1
55155552, 1
55155555, 1
55152252, 1
44444444, 0
55554555, 1
55515555, 1
55355555, 1
45153252, 1
52152552, 1
55255555, 1
15555555, 1
52555555, 1
33333333, 0
55555554, 1
55555551, 1
54555555, 1
55555553, 1
55555552, 1
55552255, 1
55153222, 1
55555515, 0
25555555, 1
55552252, 1
51555555, 1
12152252, 1
55555535, 0
55455555, 1
22222222, 1
12153252, 1
55545555, 1
55555545, 0
13152552, 1
25152252, 1
34152252, 1
32153252, 1
12153552, 1
55551555, 1
25152222, 1
55152552, 1
55552552, 1
55153252, 1
55535555, 1
55555455, 1
